9.999999999999999547e-07 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.999999999999999909e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.000000000000000076e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.999999999999999819e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.999999999999999562e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.000000000000000152e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.999999999999999895e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.999999999999999638e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.000000000000000228e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.999999999999999124e-06 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.099999999999999971e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.200000000000000030e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.299999999999999920e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.399999999999999979e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.499999999999999869e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.599999999999999928e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.699999999999999987e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.800000000000000046e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.899999999999999766e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
1.999999999999999825e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.099999999999999884e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.199999999999999943e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.300000000000000002e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.400000000000000061e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.499999999999999781e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.599999999999999840e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.699999999999999899e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.799999999999999958e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.900000000000000017e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
2.999999999999999737e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.100000000000000135e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.199999999999999855e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.299999999999999575e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.399999999999999973e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.499999999999999693e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.600000000000000091e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.699999999999999811e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.799999999999999532e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.899999999999999929e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
3.999999999999999650e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.100000000000000047e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.199999999999999768e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.299999999999999488e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.399999999999999886e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.499999999999999606e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.600000000000000004e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.699999999999999724e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.800000000000000122e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.899999999999999842e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
4.999999999999999562e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.099999999999999960e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.199999999999999680e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.300000000000000078e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.399999999999999798e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.499999999999999518e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.599999999999999916e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.699999999999999636e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.800000000000000034e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.899999999999999754e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
5.999999999999999474e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.099999999999999872e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.200000000000000270e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.299999999999999990e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.399999999999999710e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.499999999999999431e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.599999999999999151e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.700000000000000226e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.799999999999999946e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.899999999999999667e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
6.999999999999999387e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.099999999999999107e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.200000000000000182e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.299999999999999903e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.399999999999999623e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.499999999999999343e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.599999999999999063e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.700000000000000139e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.799999999999999859e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.899999999999999579e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
7.999999999999999299e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.099999999999999019e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.200000000000000095e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.299999999999999815e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.399999999999999535e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.499999999999999255e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.599999999999998976e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.700000000000000051e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.799999999999999771e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.899999999999999491e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
8.999999999999999212e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.099999999999998932e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.200000000000000007e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.299999999999999727e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.399999999999999448e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.499999999999999168e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.600000000000000243e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.699999999999999963e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.799999999999999684e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.899999999999999404e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
9.999999999999999124e-05 1.339443968555020792e+00 5.153516585333266509e-01 1.920000000000000000e+02
